Duplicate Index,Original Index
32,2
44,15
60,2
62,34
71,15
73,46
89,34
91,64
100,46
102,75
118,64
120,93
129,75
131,104
147,93
149,122
158,104
160,133
176,122
188,133
195,15
195,18
195,21
195,24
195,27
205,2
205,5
205,8
205,11
205,14
215,15
215,46
215,49
215,52
215,55
225,2
225,34
225,37
225,40
225,43
235,15
235,46
235,75
235,78
235,81
245,2
245,34
245,64
245,67
245,70
255,97
255,46
255,75
255,104
255,107
265,86
265,34
265,64
265,93
265,96
275,123
275,126
275,75
275,104
275,133
285,112
285,115
285,64
285,93
285,122
295,149
295,152
295,155
295,104
295,133
305,138
305,141
305,144
305,93
305,122
315,176
315,179
315,182
315,185
315,133
325,164
325,167
325,170
325,173
325,122
345,136
345,137
345,138
345,162
345,163
345,164
363,165
363,166
363,167
384,9
384,10
384,11
402,12
402,13
402,14
402,41
402,42
402,43
432,149
432,150
432,151
432,176
432,177
432,178
450,179
450,180
450,181
471,24
471,25
471,26
489,27
489,28
489,29
489,55
489,56
489,57
714,190
721,672
721,693
721,210
721,211
728,694
728,230
728,231
728,232
736,251
736,252
736,253
744,272
744,273
744,274
752,293
752,294
752,614
760,314
760,615
760,636
763,195
767,200
771,215
771,216
774,220
774,221
777,235
777,236
777,237
779,240
779,241
779,242
782,256
782,257
782,258
784,261
784,262
784,263
787,277
787,278
787,279
789,282
789,283
789,284
792,298
792,299
795,303
795,304
799,319
803,324
806,581
806,602
806,205
814,603
814,225
814,226
822,245
822,246
822,247
830,266
830,267
830,268
838,287
838,288
838,289
838,523
845,308
845,309
845,524
845,545
852,329
857,749
857,756
863,757
870,716
876,717
876,723
881,609
881,610
881,611
881,612
881,613
881,614
881,615
881,630
881,631
881,632
881,633
881,634
881,635
881,636
881,651
881,652
881,653
881,654
881,655
881,656
881,657
881,672
881,673
881,674
881,675
881,676
881,677
881,678
881,693
881,694
881,695
881,696
881,697
881,698
881,699
886,789
886,795
892,796
899,765
905,766
905,773
915,792
915,799
921,800
928,769
934,770
934,776
939,518
939,519
939,520
939,521
939,522
939,523
939,524
939,539
939,540
939,541
939,542
939,543
939,544
939,545
939,560
939,561
939,562
939,563
939,564
939,565
939,566
939,581
939,582
939,583
939,584
939,585
939,586
939,587
939,602
939,603
939,604
939,605
939,606
939,607
939,608
944,842
944,848
950,849
957,808
963,809
963,816
